STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-15,,33,21,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-16,,42,26,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-17,,46,21,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-18,,38,29,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-19,,48,21,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-20,,46,39,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-21,,56,38,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-22,,55,43,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-23,,75,53,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-24,,53,36,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-25,,39,31,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-26,,43,28,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-27,,50,29,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-28,,52,37,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-29,,61,46,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-04-30,,54,47,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-01,,49,43,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-02,,51,40,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-03,,59,43,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-04,,65,33,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-05,,66,41,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-06,,73,39,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-07,,75,51,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-08,,65,53,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-09,,87,54,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-10,,80,52,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-11,,75,60,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-12,,92,58,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-13,,75,55,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-14,,74,52,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-15,,75,51,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-16,,71,52,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-17,,73,44,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-18,,73,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-19,,72,48,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-20,,66,48,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-21,,55,42,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-22,,58,39,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-23,,67,41,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-24,,69,48,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-25,,60,48,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-26,,63,45,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-27,,77,41,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-28,,89,60,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-29,,82,66,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-05-30,,88,63,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-01,,70,48,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-02,,78,49,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-03,,70,49,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-04,,72,52,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-05,,73,57,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-06,,77,59,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-07,,71,54,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-08,,79,51,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-09,,81,49,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-10,,82,56,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-11,,81,64,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-12,,80,62,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-13,,80,68,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-14,,96,73,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-15,,78,66,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-16,,82,64,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-17,,86,58,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-18,,85,63,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-19,,98,70,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-20,,102,79,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-21,,88,71,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-22,,86,66,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-23,,96,63,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-24,,92,65,
USW00094960,"MINNEAPOLIS CRYSTAL AIRPORT, MN US",2022-06-25,,81,62,
